TICKER;EMPRESA;CNPJ
RRRP3;3R PETROLEUM;12.091.809/0001-55
TTEN3;3TENTOS;94.813.102/0001-70
AERI3;AERIS;12.528.708/0001-07
TIET11;AES TIETE ENERGIA;04.128.563/0001-10
TIET3;AES TIETE ENERGIA;04.128.563/0001-10
TIET4;AES TIETE ENERGIA;04.128.563/0001-10
AGXY3;AGROGALAXY;21.240.146/0001-84
ALLD3;ALLIED;20.247.322/0001-47
ALPA3;ALPARGATAS;61.079.117/0001-05
ALPA4;ALPARGATAS;61.079.117/0001-05
AVLL3;ALPHAVILLE;16.811.931/0001-00
ALUP11;ALUPAR INVESTIMENTO;08.364.948/0001-38
ALUP3;ALUPAR INVESTIMENTO;08.364.948/0001-38
ALUP4;ALUPAR INVESTIMENTO;08.364.948/0001-38
ABEV3;AMBEV;07.526.557/0001-00
AMBP3;AMBIPAR;12.648.266/0001-24
ANIM3;ANIMA HOLDING;09.288.252/0001-32
ARZZ3;AREZZO INDÚSTRIA E COMÉRCIO;16.590.234/0001-76
ARML3;ARMAC;00.242.184/0001-04
CRFB3;ATACADÃO;75.315.333/0001-09
ATOM3;ATOM;00.359.742/0001-08
AURE3;AUREN ENERGIA;28.594.234/0001-23
AZUL4;AZUL;09.305.994/0001-29
BTOW3;B2W – COMPANHIA DIGITAL;00.776.574/0001-56
B3SA3;B3 – BRASIL – BOLSA – BALCÃO;09.346.601/0001-25
ABCB4;BANCO ABC BRASIL;28.195.667/0001-06
BMGB4;BANCO BMG;61.186.680/0001-74
BBDC3;BANCO BRADESCO;60.746.948/0001-12
BBDC4;BANCO BRADESCO;60.746.948/0001-12
BPAC11;BANCO BTG PACTUAL;30.306.294/0001-45
BPAC3;BANCO BTG PACTUAL;30.306.294/0001-45
BPAC5;BANCO BTG PACTUAL;30.306.294/0001-45
BBAS3;BANCO DO BRASIL;00.000.000/0001-91
BPAN4;BANCO PAN;59.285.411/0001-13
PINE3;BANCO PINE;62.144.175/0001-20
PINE4;BANCO PINE;62.144.175/0001-20
SANB11;BANCO SANTANDER;90.400.888/0001-42
SANB3;BANCO SANTANDER;90.400.888/0001-42
SANB4;BANCO SANTANDER;90.400.888/0001-42
BRSR3;BANRISUL;92.702.067/0001-96
BRSR5;BANRISUL;92.702.067/0001-96
BRSR6;BANRISUL;92.702.067/0001-96
BBSE3;BB SEGURIDADE;17.344.597/0001-94
BMOB3;BEMOBI;09.042.817/0001-05
BSEV3;BIOSEV;15.527.906/0001-36
BLAU3;BLAU FARMACÊUTICA;58.430.828/0001-60
SOJA3;BOA SAFRA;10.807.374/0001-77
BOAS3;BOA VISTA;11.725.176/0001-27
BOBR3;BOMBRIL;50.564.053/0001-03
BOBR4;BOMBRIL;50.564.053/0001-03
BRML3;BR MALLS PARTICIPACOES;06.977.745/0001-91
BRBI11;BR PARTNERS;10.739.356/0001-03
BRPR3;BR PROPERTIES;06.977.751/0001-49
BRAP3;BRADESPAR;03.847.461/0001-92
BRAP4;BRADESPAR;03.847.461/0001-92
BBRK3;BRASIL BROKERS;08.613.550/0001-98
AGRO3;BRASILAGRO;07.628.528/0001-59
BRKM3;BRASKEM;42.150.391/0001-70
BRKM5;BRASKEM;42.150.391/0001-70
BRKM6;BRASKEM;42.150.391/0001-70
BRFS3;BRF;01.838.723/0001-27
BRIT3;BRISANET;19.796.586/0001-70
CEAB3;C&A MODAS;45.242.914/0001-05
CXSE3;CAIXA SEGURIDADE;22.543.331/0001-00
